Group,Hide,SpeciesRichness,Area
1,Visitor/Reedbed,5,5148
1,Hide 6,3,15627
1,Hide 8,6,23724
1,Hide 10,6,27804
1,Hide 11,7,29319
1,Hide 12,12,13679
1,E. Scrape,0,8667
1,Hide 13,6,24212
1,Hide 4,4,15213
1,Hide 5,3,6039
2,Visitor/Reedbed,4,5148
2,Hide 6,4,15627
2,Hide 8,8,23724
2,Hide 10,7,27804
2,Hide 11,9,29319
2,Hide 12,11,13679
2,E. Scrape,1,8667
2,Hide 13,5,24212
2,Hide 4,5,15213
2,Hide 5,4,6039
3,Visitor/Reedbed,7,5148
3,Hide 6,7,15627
3,Hide 8,8,23724
3,Hide 10,5,27804
3,Hide 11,7,29319
3,Hide 12,12,13679
3,E. Scrape,2,8667
3,Hide 13,6,24212
3,Hide 4,6,15213
3,Hide 5,6,6039
4,Visitor/Reedbed,6,5148
4,Hide 6,6,15627
4,Hide 8,8,23724
4,Hide 10,6,27804
4,Hide 11,7,29319
4,Hide 12,13,13679
4,E. Scrape,2,8667
4,Hide 13,8,24212
4,Hide 4,7,15213
4,Hide 5,6,6039
5,Visitor/Reedbed,6,5148
5,Hide 6,5,15627
5,Hide 8,9,23724
5,Hide 10,4,27804
5,Hide 11,11,29319
5,Hide 12,12,13679
5,E. Scrape,2,8667
5,Hide 13,6,24212
5,Hide 4,4,15213
5,Hide 5,4,6039
6,Visitor/Reedbed,8,5148
6,Hide 6,3,15627
6,Hide 8,11,23724
6,Hide 10,6,27804
6,Hide 11,11,29319
6,Hide 12,12,13679
6,E. Scrape,5,8667
6,Hide 13,7,24212
6,Hide 4,6,15213
6,Hide 5,6,6039
7,Visitor/Reedbed,4,5148
7,Hide 6,5,15627
7,Hide 8,8,23724
7,Hide 10,5,27804
7,Hide 11,9,29319
7,Hide 12,13,13679
7,E. Scrape,2,8667
7,Hide 13,7,24212
7,Hide 4,4,15213
7,Hide 5,4,6039
8,Visitor/Reedbed,5,5148
8,Hide 6,6,15627
8,Hide 8,8,23724
8,Hide 10,6,27804
8,Hide 11,9,29319
8,Hide 12,9,13679
8,E. Scrape,3,8667
8,Hide 13,6,24212
8,Hide 4,5,15213
8,Hide 5,3,6039
9,Visitor/Reedbed,6,5148
9,Hide 6,5,15627
9,Hide 8,6,23724
9,Hide 10,4,27804
9,Hide 11,8,29319
9,Hide 12,11,13679
9,E. Scrape,1,8667
9,Hide 13,4,24212
9,Hide 4,4,15213
9,Hide 5,4,6039